# mean, investigation_time=50.0, checksum=263994461
lon,lat,PGA-0.1,PGA-0.02,SA(0.075)-0.1,SA(0.075)-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.3)-0.1,SA(0.3)-0.02,SA(0.4)-0.1,SA(0.4)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(0.75)-0.1,SA(0.75)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(1.5)-0.1,SA(1.5)-0.02,SA(2.0)-0.1,SA(2.0)-0.02,SA(2.5)-0.1,SA(2.5)-0.02,SA(3.0)-0.1,SA(3.0)-0.02
171.59921,-43.89802,3.523597E-01,6.695606E-01,5.863581E-01,1.130555E+00,6.970910E-01,1.337012E+00,8.829891E-01,1.633706E+00,8.287147E-01,1.505077E+00,7.671327E-01,1.375351E+00,7.220894E-01,1.273446E+00,6.153719E-01,1.051690E+00,5.128571E-01,8.779879E-01,3.652015E-01,6.231326E-01,2.698711E-01,4.571020E-01,2.089452E-01,3.592315E-01,1.705903E-01,2.990279E-01
171.61165,-43.89817,3.523492E-01,6.702465E-01,5.867017E-01,1.132105E+00,6.974205E-01,1.338814E+00,8.826964E-01,1.634764E+00,8.277930E-01,1.504579E+00,7.659764E-01,1.374005E+00,7.209332E-01,1.272210E+00,6.144375E-01,1.050797E+00,5.120780E-01,8.770779E-01,3.644464E-01,6.220006E-01,2.693220E-01,4.561974E-01,2.085365E-01,3.584490E-01,1.702517E-01,2.983351E-01
171.62410,-43.89832,3.524632E-01,6.715097E-01,5.872713E-01,1.134598E+00,6.980132E-01,1.341699E+00,8.826788E-01,1.636936E+00,8.270800E-01,1.505007E+00,7.649875E-01,1.373389E+00,7.198973E-01,1.271531E+00,6.135114E-01,1.050122E+00,5.112824E-01,8.762869E-01,3.636724E-01,6.209147E-01,2.687572E-01,4.553198E-01,2.081130E-01,3.576852E-01,1.698993E-01,2.976517E-01
171.63655,-43.89847,3.526403E-01,6.727964E-01,5.879563E-01,1.137129E+00,6.987426E-01,1.344641E+00,8.828095E-01,1.639220E+00,8.264829E-01,1.505573E+00,7.640848E-01,1.372879E+00,7.188931E-01,1.270857E+00,6.123984E-01,1.049056E+00,5.102732E-01,8.750780E-01,3.627526E-01,6.195905E-01,2.680964E-01,4.542795E-01,2.076148E-01,3.567940E-01,1.694823E-01,2.968623E-01
171.64900,-43.89862,3.528353E-01,6.737517E-01,5.886774E-01,1.139122E+00,6.995171E-01,1.346976E+00,8.829913E-01,1.640968E+00,8.259320E-01,1.505772E+00,7.632148E-01,1.372116E+00,7.178900E-01,1.269928E+00,6.111266E-01,1.047544E+00,5.090864E-01,8.734465E-01,3.617169E-01,6.180314E-01,2.673600E-01,4.530727E-01,2.070585E-01,3.557668E-01,1.690157E-01,2.959616E-01
171.66145,-43.89877,3.530498E-01,6.743076E-01,5.894377E-01,1.140444E+00,7.003267E-01,1.348555E+00,8.832297E-01,1.642056E+00,8.254343E-01,1.505530E+00,7.624053E-01,1.371079E+00,7.169809E-01,1.268885E+00,6.101555E-01,1.046456E+00,5.082133E-01,8.723049E-01,3.608910E-01,6.167487E-01,2.667606E-01,4.520526E-01,2.066059E-01,3.548834E-01,1.686377E-01,2.951820E-01
171.67390,-43.89891,3.533013E-01,6.745633E-01,5.902640E-01,1.141278E+00,7.011926E-01,1.349585E+00,8.835680E-01,1.642720E+00,8.250327E-01,1.505017E+00,7.616831E-01,1.369904E+00,7.161536E-01,1.267763E+00,6.092739E-01,1.045419E+00,5.074241E-01,8.712459E-01,3.601252E-01,6.155238E-01,2.662012E-01,4.510691E-01,2.061828E-01,3.540272E-01,1.682844E-01,2.944257E-01
171.68634,-43.89906,3.536123E-01,6.748088E-01,5.911974E-01,1.142080E+00,7.021798E-01,1.350590E+00,8.840427E-01,1.643470E+00,8.247393E-01,1.504634E+00,7.610377E-01,1.368848E+00,7.153468E-01,1.266672E+00,6.081424E-01,1.043902E+00,5.063469E-01,8.696496E-01,3.591634E-01,6.139845E-01,2.655120E-01,4.498646E-01,2.056593E-01,3.529944E-01,1.678446E-01,2.935210E-01
171.69879,-43.89920,3.540699E-01,6.755580E-01,5.923893E-01,1.143710E+00,7.034588E-01,1.352537E+00,8.848494E-01,1.645259E+00,8.247140E-01,1.505114E+00,7.606262E-01,1.368488E+00,7.147700E-01,1.266215E+00,6.073593E-01,1.043171E+00,5.056058E-01,8.687754E-01,3.584149E-01,6.128389E-01,2.649587E-01,4.489318E-01,2.052358E-01,3.521712E-01,1.674888E-01,2.927864E-01
171.71124,-43.89934,3.547049E-01,6.772211E-01,5.938935E-01,1.146795E+00,7.050875E-01,1.356138E+00,8.860532E-01,1.648844E+00,8.250076E-01,1.507195E+00,7.604882E-01,1.369459E+00,7.144211E-01,1.266873E+00,6.066971E-01,1.043133E+00,5.049421E-01,8.683830E-01,3.577140E-01,6.119319E-01,2.644325E-01,4.481501E-01,2.048289E-01,3.514583E-01,1.671454E-01,2.921363E-01
171.72369,-43.89948,3.554857E-01,6.794969E-01,5.956572E-01,1.150886E+00,7.070068E-01,1.360883E+00,8.875803E-01,1.653633E+00,8.255534E-01,1.510328E+00,7.605616E-01,1.371255E+00,7.142437E-01,1.268206E+00,6.061322E-01,1.043498E+00,5.043410E-01,8.682669E-01,3.570438E-01,6.111515E-01,2.639222E-01,4.474510E-01,2.044307E-01,3.508032E-01,1.668078E-01,2.915280E-01
